row ID,row m/z,row retention time,Af-T,Af-L,Af-F,Af-B,Ah-L,Ahv-T,Ah-T,Ah-F,Ahv-F,Ahv-T,Ahv-L,Aj-B,Aj-L,Aj-T,Aj-F
85,463.0865,4.6664,10564.99689,127453.8076,1121.543463,9128.741449,26899.13363,950.8586163,1921.646562,1173.032,4918.165173,6991.417245,37173.9012,422.0755,19024.63041,9293.388734,4102.680358
86,679.4438,15.3235,6217.567486,52469.94586,51.06555588,6579.809,60.088,12.258,34.658,131.79,0,33.768,571.0279099,145.8175,242.871,0,70.9625
87,269.0795,8.2737,25737.19876,34798.07261,574.7409691,6066.460283,61.7545,33.9,216.8535,0,0,0,580.581,77.408,71.6035,63.492,18.13
88,116.9253,26.0862,151080.7012,62645.31312,15352.00613,58001.48648,107820.6795,114996.6807,100.0735309,56821.89914,69791.32727,70556.82117,93489.63336,101165.0352,62776.8225,66539.98219,55776.96609
89,895.1955,5.2822,83.488,78492.07535,0,0,7294.291016,0,0,30.837,0,37.587,9914.819434,18.876,29000.67948,1832.036374,16.968
90,635.417,15.25,376.4608365,33970.02765,721.6613662,49.236,51.474,0,21.762,0,60.135,95.76,116.7127452,51.0475,149.12,63.34,40.084
91,1299.881,16.1101,0,68604.87768,0,0,0,0,0,0,0,0,0,0,0,0,0
92,431.0964,5.8697,545.6616577,48513.15175,186.1161803,897.5559961,13549.91022,896.9056682,498.8599404,27.44,83.079,707.462,18431.27928,250.702,32845.99998,8998.602744,130.6638487
93,269.0437,10.5275,16584.63848,24106.27107,517.8474355,7322.870382,111.516,80.887,49.62,0,13.356,106.5375,736.4495281,98.48270166,287.388,193.1092506,71.0395
94,677.4295,17.4478,1601.99043,21866.09758,61.2,5628.110132,40.79,233.98,211.058732,68.4,48.84,158.3881204,439.040988,160.95,71.775,204.575,0
95,927.1883,4.7082,53.61101172,22355.68701,0,0,1106.996817,0,0,9.261,0,138.6,2877.646525,45.84,223.2375717,0,46.0275
96,651.4099,12.1786,104.058,18591.6021,10.63,132.2512097,0,37.962,25.26,60.88,0,0,115.6563319,0,96.985,82.2265,203.755
97,477.0665,4.7258,2629.861087,33409.81866,227.1055,1982.6637,7500.894187,379.867,1220.171004,353.6025,610.5124422,1789.845631,3877.622083,1642.6,26723.61591,17543.15346,2814.042968
98,277.2142,17.614,2243.817597,22166.92775,852.6731689,1752.219727,25508.09682,5391.354824,0,154.135,2306.859921,3520.468789,16941.90505,2044.690603,8378.909619,13159.4955,3518.576541
99,301.0322,6.9173,6016.965269,42993.57902,3373.205572,15006.64591,293.727372,0,155.051,786.201603,690.2380606,221.978,5581.689193,291.1305,2365.194783,288.5480776,253.7845391
