RT,BPI,TIC,Species,Parts
12.108,1699,64165,Alnus_firma,barks
12.138,1825,62079,Alnus_firma,barks
12.172,2048,62649,Alnus_firma,barks
12.196,1790,66374,Alnus_firma,barks
12.22,3635,74333,Alnus_firma,barks
12.25,10022,92225,Alnus_firma,barks
12.284,3604,71521,Alnus_firma,barks
12.308,3727,72942,Alnus_firma,barks
12.337,2922,65779,Alnus_firma,barks
12.351,2324,70128,Alnus_firma,barks
12.385,1610,68747,Alnus_firma,barks
12.409,1763,64762,Alnus_firma,barks
12.438,1793,63360,Alnus_firma,barks
12.462,2187,69828,Alnus_firma,barks
12.485,5294,80373,Alnus_firma,barks
12.524,4208,79339,Alnus_firma,barks
